"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\Gintautas\greenhouse\app\Controllers\Http\AuthController.js", "JavaScript", 29, 22, 8, 59
"c:\Users\Gintautas\greenhouse\app\Controllers\Http\GreenhouseControlController.js", "JavaScript", 92, 16, 15, 123
"c:\Users\Gintautas\greenhouse\app\Controllers\Http\HumidityDatumController.js", "JavaScript", 18, 16, 5, 39
"c:\Users\Gintautas\greenhouse\app\Controllers\Http\TemperatureDatumController.js", "JavaScript", 18, 16, 5, 39
"c:\Users\Gintautas\greenhouse\app\Controllers\Http\UserController.js", "JavaScript", 142, 63, 19, 224
"c:\Users\Gintautas\greenhouse\app\Exceptions\ForbiddenException.js", "JavaScript", 13, 0, 5, 18
"c:\Users\Gintautas\greenhouse\app\Exceptions\HandlerException.js", "JavaScript", 23, 27, 8, 58
"c:\Users\Gintautas\greenhouse\app\Exceptions\NotFoundException.js", "JavaScript", 13, 0, 5, 18
"c:\Users\Gintautas\greenhouse\app\Middleware\AdminAccess.js", "JavaScript", 12, 8, 5, 25
"c:\Users\Gintautas\greenhouse\app\Middleware\ConvertEmptyStringsToNull.js", "JavaScript", 14, 0, 4, 18
"c:\Users\Gintautas\greenhouse\app\Middleware\FindUser.js", "JavaScript", 14, 8, 5, 27
"c:\Users\Gintautas\greenhouse\app\Models\GreenhouseControl.js", "JavaScript", 8, 1, 4, 13
"c:\Users\Gintautas\greenhouse\app\Models\HumidityDatum.js", "JavaScript", 8, 1, 4, 13
"c:\Users\Gintautas\greenhouse\app\Models\Role.js", "JavaScript", 10, 1, 4, 15
"c:\Users\Gintautas\greenhouse\app\Models\TemperatureDatum.js", "JavaScript", 8, 1, 4, 13
"c:\Users\Gintautas\greenhouse\app\Models\Token.js", "JavaScript", 5, 1, 4, 10
"c:\Users\Gintautas\greenhouse\app\Models\Traits\NoTimestamp.js", "JavaScript", 14, 0, 3, 17
"c:\Users\Gintautas\greenhouse\app\Models\User.js", "JavaScript", 34, 16, 12, 62
"c:\Users\Gintautas\greenhouse\app\Services\AuthorizationService.js", "JavaScript", 26, 0, 5, 31
"c:\Users\Gintautas\greenhouse\app\Validators\StoreUser.js", "JavaScript", 23, 0, 6, 29
"c:\Users\Gintautas\greenhouse\app\Validators\ValidatorExtender.js", "JavaScript", 15, 0, 5, 20
"Total", "-", 539, 197, 135, 871
